filename,label
folder_008756.tif,file_folder
advertisement_agreement_004660.jpg,advertisement
publication_inquiry_006095.docx,scientific_publication
business_letter_000304.pdf,letter
folder_q1_008241.pdf,file_folder
news_article_inquiry_009577.docx,news_article
application_001035.docx,form
news_article_contract_009976.pdf,news_article
specification_v2_007872.pdf,specification
folder_008341.pdf,file_folder
financial_budget_010914.xlsx,budget
report_contract_005815.pdf,scientific_report
invoice_2024_011298.pdf,invoice
resume_candidate_014444.docx,resume
folder_contract_008670.pdf,file_folder
manuscript_003128.jpg,handwritten
report_contract_005514.pdf,scientific_report
directory_008498.pdf,file_folder
invoice_2024_011492.pdf,invoice
financial_report_005028.pdf,scientific_report
publication_agreement_006879.docx,scientific_publication
news_article_report_009812.docx,news_article
presentation_notice_012036.pptx,presentation
invoice_report_011408.xlsx,invoice
note_003623.jpg,handwritten
folder_q1_008254.pdf,file_folder
scientific_report_005156.docx,scientific_report
technical_spec_007540.docx,specification
specification_agreement_007497.docx,specification
tech_spec_007387.pdf,specification
communication_002312.msg,email
financial_report_005664.pdf,scientific_report
business_announcement_015324.docx,memo
scientific_report_005140.pdf,scientific_report
correspondence_000937.pdf,letter
letter_000708.docx,letter
publication_006151.pdf,scientific_publication
questionnaire_q1_013873.pdf,questionnaire
questionnaire_annual_013092.docx,questionnaire
presentation_q1_012900.pptx,presentation
advertisement_report_004101.jpg,advertisement
email_002929.eml,email
report_notice_005703.pdf,scientific_report
presentation_results_012019.pdf,presentation
survey_013476.pdf,questionnaire
specification_q1_007613.pdf,specification
presentation_2024_012674.pptx,presentation
specification_q1_007660.pdf,specification
financial_budget_010645.pdf,budget
financial_report_010506.pdf,budget
form_inquiry_001489.docx,form
article_006422.pdf,scientific_publication
form_jan_001087.docx,form
application_001398.pdf,form
letter_client_000088.pdf,letter
news_article_009202.pdf,news_article
presentation_012085.pdf,presentation
specification_jan_007565.docx,specification
financial_budget_010742.xlsx,budget
memorandum_015577.docx,memo
survey_013504.docx,questionnaire
news_article_notice_009441.pdf,news_article
email_inquiry_002595.msg,email
file_organizer_008585.pdf,file_folder
folder_008763.pdf,file_folder
publication_q1_006348.pdf,scientific_publication
handwritten_inquiry_003013.png,handwritten
email_contract_002742.eml,email
resume_inquiry_014391.docx,resume
news_article_009629.pdf,news_article
letter_contract_000123.pdf,letter
advertisement_q1_004400.pdf,advertisement
presentation_012499.pdf,presentation
news_article_009384.tif,news_article
advertisement_report_004787.jpg,advertisement
press_article_009707.docx,news_article
news_article_2024_009212.pdf,news_article
specification_annual_007132.docx,specification
advertisement_004600.pdf,advertisement
budget_010912.tif,budget
cv_014016.docx,resume
letter_notice_000101.pdf,letter
report_2024_005547.pdf,scientific_report
form_001714.docx,form
presentation_012008.pptx,presentation
presentation_inquiry_012290.pdf,presentation
advertisement_inquiry_004058.jpg,advertisement
folder_jan_008486.docx,file_folder
financial_budget_010991.xlsx,budget
ad_004667.jpg,advertisement
advertisement_update_004100.pdf,advertisement
advertisement_q1_004093.pdf,advertisement
survey_013241.docx,questionnaire
folder_2024_008704.pdf,file_folder
invoice_jan_011449.xlsx,invoice
research_report_005484.pdf,scientific_report
scientific_report_005905.docx,scientific_report
questionnaire_notice_013488.pdf,questionnaire
memo_report_015395.docx,memo
memo_report_015846.docx,memo
letter_q1_000150.pdf,letter
publication_inquiry_006341.docx,scientific_publication
handwritten_notice_003063.jpg,handwritten
report_quarterly_005129.xlsx,scientific_report
budget_annual_010146.pdf,budget
report_annual_005803.xlsx,scientific_report
scientific_report_005799.pdf,scientific_report
advertisement_contract_004779.pdf,advertisement
email_contract_002937.eml,email
resume_contract_014053.pdf,resume
publication_2024_006292.pdf,scientific_publication
application_001326.docx,form
receipt_011143.pdf,invoice
folder_contract_008139.pdf,file_folder
letter_q1_000932.pdf,letter
resume_014110.pdf,resume
application_001722.docx,form
publication_update_006427.pdf,scientific_publication
presentation_update_012872.pptx,presentation
budget_jan_010424.pdf,budget
letter_jan_000169.docx,letter
invoice_q1_011057.pdf,invoice
folder_inquiry_008720.docx,file_folder
product_spec_007691.pdf,specification
news_009367.pdf,news_article
specification_version_007976.docx,specification
research_report_005379.docx,scientific_report
publication_006223.pdf,scientific_publication
form_001805.pdf,form
folder_agreement_008972.docx,file_folder
document_folder_008093.docx,file_folder
